ProductCode,Name,FaName,BrandName,BrandId,CategoryName,CategoryId
gsp-15889,Spigen Cover for iPhone 15 Pro - Black,قاب گوشی اپل iPhone 15 Pro اسپیگن با توری اسپیکر فلزی - مشکی,متفرقه,327,قاب پشت گوشی,113
gsp-15892,Spigen Cover for iPhone 13 / 14 - Black,قاب گوشی اپل  iPhone 13 / 14 اسپیگن با توری اسپیکر فلزی - مشکی,متفرقه,327,قاب پشت گوشی,113
gsp-15887,Mietubl Full Cover Anti Static Protector For Redmi Note 12 4G / 12 5G / Poco X5 / Honor X8 / X8A / X10 / Realme 11 / Oppo A98 / A58 / Note 12R Pro,گلس گوشی Redmi Note 12 4G / 12 5G / Poco X5 / Honor X8 / X8A / X10 / Realme 11 / Oppo A98 / A58 / Note 12R Pro میتوبل مدل Full Cover Anti Static,متفرقه,327,محافظ تمام صفحه گوشی,117
gsp-15940,Spigen Cover for iPhone 14 Pro Max - Black,قاب گوشی اپل iPhone 14 Pro Max اسپیگن با توری اسپیکر فلزی - مشکی,متفرقه,327,قاب پشت گوشی,113
gsp-15928,Spigen Cover for iPhone 15 Pro - Gray,قاب گوشی اپل iPhone 15 Pro اسپیگن با توری اسپیکر فلزی - طوسی,متفرقه,327,قاب پشت گوشی,113
gsp-15938,Spigen Cover for iPhone 15 Pro - Purple,قاب گوشی اپل iPhone 15 Pro اسپیگن با توری اسپیکر فلزی - بنفش,متفرقه,327,قاب پشت گوشی,113
gsp-15959,Spigen Cover for iPhone 13 Pro Max - Navy Blue,قاب گوشی اپل iPhone 13 Pro Max اسپیگن با توری اسپیکر فلزی - سرمه ای,متفرقه,327,قاب پشت گوشی,113
gsp-15954,Spigen Cover for iPhone 14 Pro Max - Gray,قاب گوشی اپل iPhone 14 Pro Max اسپیگن با توری اسپیکر فلزی - طوسی,متفرقه,327,قاب پشت گوشی,113
gsp-16380,E-204 Wired Handsfree,هندزفری سیمی مدل E-204,متفرقه,327,هندزفری با سیم,125
gsp-16368,Samsung Galaxy Galaxy A55 Hashor Frame with Silicone Design Inside the Beehive - Navy Blue,قاب هاشور طرح سیلیکون داخل کندویی سامسونگ Galaxy A55 - سرمه ای,متفرقه,327,قاب پشت گوشی,113
gsp-16367,New Case For Samsung Galaxy Galaxy A55,قاب گوشی سامسونگ Galaxy A55 مدل نیو سیلیکون محافظ لنزدار RFF,متفرقه,327,قاب پشت گوشی,113
gsp-16370,New Skin Case For Xiaomi Poco X5 Pro 5G,قاب گوشی شیائومی Poco X5 Pro 5G مدل New Skin محافظ لنزدار گلس,متفرقه,327,قاب پشت گوشی,113
gsp-16434,Telzeal TC4G,ساعت هوشمند تلزیل TC4G,متفرقه,327,ساعت هوشمند,190
gsp-16458,Apple iPhone 12 / 12 Pro JDK Magnetic Mobile Bag with Strap and Card Slot - Dark Navy,کیف موبایل مگنتی JDK با ست بند و جاکارتی اپل iPhone 12 / 12 Pro - سرمه ای تیره,متفرقه,327,کیف و کاور گوشی,114
gsp-16479,Xiaomi Poco X6 Pro 5G / Redmi K70E Magnetic Mobile Bag - Black,کیف موبایل مگنتی شیائومی Poco X6 Pro 5G / Redmi K70E - مشکی,متفرقه,327,کیف و کاور گوشی,114
gsp-16467,Yoshita Case For Apple iPhone 13 Pro Max,قاب گوشی اپل iPhone 13 Pro Max مدل یوشیتا مگ سیف لنز مگنتی شفاف,متفرقه,327,قاب پشت گوشی,113
gsp-16481,Xiaomi Poco X6 Pro 5G / Redmi K70E Magnetic Mobile Bag - Navy Blue,کیف موبایل مگنتی شیائومی Poco X6 Pro 5G / Redmi K70E - سرمه ای,متفرقه,327,کیف و کاور گوشی,114
gsp-16472,Apple iPhone 13 Pro Max Yoshita Magsafe Magnetic Lens Case - Purple,قاب Magsafe یوشیتا لنز مگنتی برای گوشی اپل iPhone13 Pro Max - بنفش,متفرقه,327,قاب پشت گوشی,113
gsp-16475,Two-Color Magnetic Silicone Apple Watch Strap 42/44/45 mm - Yellow Gray,بند ساعت اپل واچ سیلیکونی مگنتی دو رنگ سایز 42/44/45 میلیمتری - طوسی زرد,متفرقه,327,بند اپل واچ,214
gsp-16462,Samsung Galaxy A12 / M12 / F12 Magnetic Leather Mobile Bag with Camera Lens Protector - Navy Blue,کیف موبایل چرمی مگنتی محافظ لنزدار سامسونگ Galaxy A12 / M12 / F12 - سرمه ای,متفرقه,327,کیف و کاور گوشی,114
gsp-16482,Xiaomi Poco F5 Pro Magnetic Mobile Bag - Black,کیف موبایل مگنتی شیائومی Poco F5 Pro - مشکی,متفرقه,327,کیف و کاور گوشی,114
gsp-16468,Yoshita Case For Apple iPhone 13 Pro Max,قاب گوشی اپل iPhone 13 Pro Max مدل یوشیتا مگ سیف لنز مگنتی شفاف,متفرقه,327,قاب پشت گوشی,113
gsp-16469,Yoshita Case For Apple iPhone 13 Pro Max,قاب گوشی اپل iPhone 13 Pro Max مدل یوشیتا مگ سیف لنز مگنتی,متفرقه,327,قاب پشت گوشی,113
gsp-16466,Yoshita Case For Apple iPhone 13 / 14,قاب گوشی اپل iPhone 13 / 14 مدل یوشیتا لنز مگنتی شفاف,متفرقه,327,قاب پشت گوشی,113
gsp-16484,Samsung Galaxy S23 FE Magnetic Mobile Bag - Honey,کیف موبایل مگنتی سامسونگ Galaxy S23 FE - عسلی,متفرقه,327,کیف و کاور گوشی,114
gsp-16476,Samsung Galaxy A35 Magnetic Mobile Bag - Black,کیف موبایل مگنتی سامسونگ Galaxy A35 - مشکی,متفرقه,327,کیف و کاور گوشی,114
gsp-16483,Samsung Galaxy S23 FE Magnetic Mobile Bag - Red,کیف موبایل مگنتی سامسونگ Galaxy S23 FE - قرمز,متفرقه,327,کیف و کاور گوشی,114
gsp-16480,Xiaomi Poco X6 Pro 5G / Redmi K70E Magnetic Mobile Bag - Red,کیف موبایل مگنتی شیائومی Poco X6 Pro 5G / Redmi K70E - قرمز,متفرقه,327,کیف و کاور گوشی,114
gsp-16477,Samsung Galaxy A35 Magnetic Mobile Bag - Red,کیف موبایل مگنتی سامسونگ Galaxy A35 - قرمز,متفرقه,327,کیف و کاور گوشی,114
gsp-16465,Xiaomi Redmi Note 13 4G M FIVE Magnetic Mobile Bag with Stitching Design - Black,کیف موبایل مگنتی M FIVE طرح دوخت شیائومی Redmi Note 13 4G - مشکی,متفرقه,327,کیف و کاور گوشی,114
gsp-16485,Samsung Galaxy S23 FE Magnetic Mobile Bag - Navy Blue,کیف موبایل مگنتی سامسونگ Galaxy S23 FE - سرمه ای,متفرقه,327,کیف و کاور گوشی,114
gsp-16474,Two-Color Magnetic Silicone Apple Watch Strap 42/44/45 mm - Orange Gray,بند ساعت اپل واچ سیلیکونی مگنتی دو رنگ سایز 42/44/45 میلیمتری - طوسی نارنجی,متفرقه,327,بند اپل واچ,214
gsp-16473,Yoshita Case For Apple iPhone 13 / 14,قاب گوشی اپل iPhone 13 / 14 مدل یوشیتا مگ سیف لنز مگنتی,متفرقه,327,قاب پشت گوشی,113
gsp-16456,Apple iPhone X / XS JDK Magnetic Mobile Bag with Strap and Card Slot - Light Navy,کیف موبایل مگنتی JDK با ست بند و جاکارتی اپل iPhone X / XS - سرمه ای روشن,متفرقه,327,کیف و کاور گوشی,114
gsp-16463,Samsung Galaxy A12 / M12 / F12 Magnetic Leather Mobile Bag with Camera Lens Protector - Black,کیف موبایل چرمی مگنتی محافظ لنزدار سامسونگ Galaxy A12 / M12 / F12 - مشکی,متفرقه,327,کیف و کاور گوشی,114
gsp-16478,Samsung Galaxy A25 5G Magnetic Mobile Bag - Red - Code 1,کیف موبایل مگنتی سامسونگ Galaxy A25 5G - قرمز - کد 1,متفرقه,327,کیف و کاور گوشی,114
gsp-16498,Daria Bond 5G Silicone Cover,کاور سیلیکونی برای گوشی داریا مدل Bond 5G,متفرقه,327,قاب پشت گوشی,113
gsp-16448,Game Console Game Stick Classic 4K,کنسول بازی مدل Game Stick Classic 4K,متفرقه,327,کنسول بازی,203
gsp-16452,Xiaomi Redmi Note 12S Magnetic Leather Mobile Bag with Camera Lens Protector - Navy Blue,کیف موبایل چرمی مگنتی محافظ لنزدار شیائومی Redmi Note 12S - سرمه ای,متفرقه,327,کیف و کاور گوشی,114
gsp-16453,Samsung Galaxy A54 Magnetic Leather Mobile Bag with Camera Lens Protector - Black,کیف موبایل چرمی مگنتی محافظ لنزدار سامسونگ Galaxy A54 - مشکی,متفرقه,327,کیف و کاور گوشی,114
gsp-16455,Xiaomi Redmi 13C / Poco C65 Magnetic Mobile Bag - Brown,کیف موبایل مگنتی شیائومی Redmi 13C / Poco C65 - قهوه ای,متفرقه,327,کیف و کاور گوشی,114
gsp-16457,Apple iPhone 7 Plus / 8 Plus JDK Magnetic Mobile Bag with Strap and Card Slot - Dark Navy,کیف موبایل مگنتی JDK با ست بند و جاکارتی اپل iPhone 7 Plus / 8 Plus - سرمه ای تیره,متفرقه,327,کیف و کاور گوشی,114
gsp-16454,Xiaomi Redmi 13C / Poco C65 Magnetic Mobile Bag - Black,کیف موبایل مگنتی شیائومی Redmi 13C / Poco C65 - مشکی,متفرقه,327,کیف و کاور گوشی,114
gsp-16459,Samsung Galaxy A12 / M12 / F12 Magnetic Leather Mobile Bag with Camera Lens Protector - Brown,کیف موبایل چرمی مگنتی محافظ لنزدار سامسونگ Galaxy A12 / M12 / F12 - قهوه ای,متفرقه,327,کیف و کاور گوشی,114
gsp-16325,Simple Tablet Bag for Lenovo Tab 7 Essential TB-7304 - Black,کیف تبلت ساده لنوو Tab 7 Essential TB-7304 - مشکی,متفرقه,327,قاب و کیف تبلت,235
gsp-16321,Simple Tablet Bag for Samsung Galaxy Tab A 8.0 2019 LTE SM-P205 - Beige,کیف تبلت ساده سامسونگ Galaxy Tab A 8.0 2019 LTE SM-P205 - بژ,متفرقه,327,قاب و کیف تبلت,235
gsp-16328,Simple Tablet Bag for Samsung Galaxy Tab A7 Lite T225 8 Inch - Brown,کیف تبلت ساده سامسونگ Galaxy Tab A7 Lite T225 8 Inch - قهوه ای,متفرقه,327,قاب و کیف تبلت,235
gsp-16320,Simple Tablet Bag for Samsung Galaxy Tab A 8.0 2019 LTE SM-P205 - Pink,کیف تبلت ساده سامسونگ Galaxy Tab A 8.0 2019 LTE SM-P205 - صورتی,متفرقه,327,قاب و کیف تبلت,235
gsp-16329,Simple Tablet Bag for Samsung Galaxy Tab A7 Lite - T225 - Navy Blue,کیف تبلت ساده سامسونگ Galaxy Tab A7 Lite - T225 - سرمه ای,متفرقه,327,قاب و کیف تبلت,235
gsp-16326,Simple Tablet Bag for Lenovo M8 - Purple,کیف تبلت ساده لنوو M8 - بنفش,متفرقه,327,قاب و کیف تبلت,235
